subject_id;prereq_subject_id
24;16
24;20
25;20
26;23
27;19
28;24
29;16
30;26
31;22
32;27
32;29
33;28
34;28
34;31
35;27
35;30
36;28
37;21
37;25
37;26
38;18
38;28
39;30
40;30
41;31
41;34
42;32
43;31
43;36
44;18
44;28
44;36
45;18
45;28
46;31
47;35
48;42
49;33
49;41
49;43
50;35
50;40
51;34
51;46
52;47
53;40
53;48
55;17
55;23
55;35
56;47
57;39
57;47
58;38
59;40
59;47
61;42
61;47
62;18
62;34
62;44
62;45
64;63
67;66
68;67
